country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Argentina,2011-01-01,ARG,41520736.0,837742690304.0,46.423,2.75,208.889,8.673,33.477,1.39,1.073,0.954,419.878,8.511,1.147,352.081,14.619,70.085,2.91,38.461,0.164,14.24,0.591,2.247,1.608,139.16,129.49,15.404,2.842,25.122,21894.867,1.085,4.089,31.146,2179.152,90.48,19097.164,792.928,69.874,87.222,4.164,17.524,438.398,1634.364,67.86,10558.529,-3.28,-12.792,9084.098,377.178,52.406,48.224,54.37,-6.514,-6.559,86.034,751.191,31.19,2072.072,24.087,9.464,-0.456,-6.025,116.163,939.53,39.01,2797.702,30.126,12.778,9.67,6.949,-11.234,-2.261,16.942,154.14,6.4,408.038,4.942,1.864,3.81,12.476,339.912,474.703,19.71,8186.556,-6.29,-24.344,8735.045,362.685,15.221,37.39,4.436,1.39,,0.882,0.039,33.466,,106.829,1.073,,0.488,3118.683,909.091,1.454,-3.763,99.221,785.391,32.61,2389.665,25.183,10.914,1779.148,0.004,0.004,0.0,0.0,0.107,0.0,0.0,4.887,0.003,0.073,0.723,0.03,1.767,0.023,0.008
Argentina,2012-01-01,ARG,41952364.0,829147447296.0,19.876,1.724,247.831,10.397,34.563,1.45,1.066,1.102,432.142,-6.495,-0.949,325.826,13.669,62.929,2.64,5.556,0.033,14.877,0.624,1.941,1.448,143.63,136.02,15.481,3.808,34.615,22494.715,1.138,4.779,37.894,2351.0,98.63,19803.955,830.823,72.511,88.038,4.162,18.244,456.642,1817.061,76.23,10884.775,-2.722,-10.266,8745.92,366.912,56.043,48.388,58.78,-6.485,-6.067,79.967,695.074,29.16,1906.136,21.438,8.474,0.245,-3.279,112.884,891.249,37.39,2690.76,27.489,11.962,7.61,5.298,0.031,-0.097,16.845,152.554,6.4,401.518,4.705,1.785,6.06,20.6,360.511,471.01,19.76,8593.353,-1.105,-4.008,8549.646,358.678,14.527,38.202,4.639,1.453,,4.576,0.203,34.637,,110.568,1.068,,0.492,3242.249,943.706,0.278,-3.181,96.039,738.695,30.99,2289.243,22.783,10.177,406.38,0.018,0.022,0.238,0.01,0.534,0.007,0.002,1290.953,0.941,1.014,8.82,0.37,24.174,0.272,0.107
Argentina,2013-01-01,ARG,42388268.0,849088348160.0,14.478,1.505,280.795,11.902,36.095,1.53,1.097,1.213,422.23,9.292,1.27,352.44,14.939,56.148,2.38,-12.632,-0.079,12.864,0.545,1.707,1.522,147.51,139.45,15.313,3.994,37.692,23152.588,1.156,3.247,26.973,2323.049,98.47,20236.637,857.796,70.613,87.406,0.796,3.635,460.277,1762.28,74.7,10858.592,-5.82,-21.354,8152.22,345.559,53.568,46.9,58.88,12.368,9.349,89.316,773.091,32.77,2107.085,23.499,9.101,10.632,10.718,123.602,966.777,40.98,2915.951,29.387,12.594,8.06,5.464,-3.046,-0.611,16.233,146.503,6.21,382.964,4.453,1.654,6.121,22.068,382.58,504.621,21.39,9025.606,-2.123,-7.615,8282.069,351.063,15.339,38.983,4.874,1.527,,5.079,0.236,36.022,,114.989,1.095,,0.497,3289.825,981.398,12.747,11.33,107.369,820.274,34.77,2532.988,24.934,10.94,84.438,0.019,0.041,0.472,0.02,0.969,0.014,0.004,22.574,0.221,1.236,10.616,0.45,29.149,0.323,0.126
Argentina,2014-01-01,ARG,42824064.0,827750809600.0,16.71,1.989,324.379,13.891,34.56,1.48,1.068,1.418,424.137,6.375,0.952,371.093,15.892,59.312,2.54,-31.325,-0.171,8.744,0.374,1.833,1.622,148.4,138.54,15.202,-0.157,-1.54,22881.006,1.184,-0.051,-0.439,2299.875,98.49,20020.451,857.357,71.091,87.498,0.277,1.273,461.55,1778.439,76.16,10777.813,-0.202,-0.7,8052.921,344.859,54.973,47.104,58.76,-1.082,-1.496,87.82,757.051,32.42,2050.716,23.401,8.963,2.012,-1.102,122.501,935.222,40.05,2860.555,28.909,12.502,9.86,6.644,-11.165,-1.899,14.334,128.666,5.51,334.728,3.977,1.463,-0.696,-2.664,379.916,462.123,19.79,8871.545,-1.324,-4.648,8089.254,346.415,14.285,38.773,4.733,1.483,,-2.887,-0.141,34.626,,110.533,1.07,,0.483,3235.097,979.858,3.765,0.797,108.166,806.556,34.54,2525.827,24.931,11.039,5.771,0.002,0.043,0.467,0.02,1.009,0.014,0.004,36.646,0.443,1.678,14.478,0.62,39.19,0.448,0.171
Argentina,2015-01-01,ARG,43257064.0,850356666368.0,8.925,1.24,349.792,15.131,34.445,1.49,1.025,1.518,426.558,-0.488,-0.078,365.585,15.814,55.251,2.39,-40.351,-0.151,5.164,0.223,1.644,1.586,154.38,145.42,15.691,1.743,17.082,23046.873,1.172,1.492,12.793,2403.076,103.95,20115.785,870.15,71.483,87.282,1.078,4.976,466.526,1828.834,79.11,10784.959,2.915,10.053,8204.705,354.911,54.401,46.796,62.03,-0.244,-0.736,87.084,747.624,32.34,2013.172,22.239,8.735,4.936,4.29,126.79,958.687,41.47,2931.087,28.517,12.718,8.96,5.804,27.657,3.856,18.19,162.748,7.04,420.508,4.841,1.825,2.078,7.894,387.81,518.99,22.45,8965.241,0.871,3.017,8078.019,349.431,15.438,38.9,4.748,1.487,,0.307,0.015,34.384,,109.762,1.023,,0.476,3361.763,996.94,2.349,0.434,108.6,795.939,34.43,2510.579,23.676,10.893,-7.909,-0.004,0.04,0.231,0.01,0.914,0.007,0.004,-4.222,-0.08,1.598,13.639,0.59,36.938,0.406,0.16
Argentina,2016-01-01,ARG,43668236.0,832669286400.0,5.989,0.906,367.251,16.037,27.022,1.18,0.802,1.616,431.92,-22.926,-3.625,279.119,12.189,44.197,1.93,-25.562,-0.057,3.808,0.166,1.311,1.228,156.7,147.18,15.894,-0.453,-4.516,22726.455,1.192,0.005,0.044,2459.683,107.41,19927.385,870.194,72.979,87.684,3.338,15.574,482.1,1930.007,84.28,11040.063,5.047,17.912,8537.638,372.824,57.263,48.578,63.57,-7.993,-7.435,79.649,681.273,29.75,1823.965,20.213,8.026,-1.394,-4.56,122.23,910.731,39.77,2799.07,27.021,12.316,9.52,6.075,17.701,3.093,21.283,189.611,8.28,487.382,5.626,2.145,-3.07,-11.905,375.905,485.479,21.2,8608.202,-4.692,-16.394,7626.543,333.038,14.404,37.877,3.757,1.177,,-20.866,-0.991,26.954,,86.042,0.8,,0.379,3370.413,992.424,-4.106,-7.653,100.947,721.119,31.49,2311.688,21.396,10.172,-2.792,-0.001,0.038,0.229,0.01,0.875,0.007,0.004,-7.749,-0.133,1.465,12.595,0.55,33.555,0.374,0.148
Austria,2003-01-01,AUT,8120105.0,294489292800.0,,0.0,0.0,0.0,203.199,1.65,2.846,0.0,282.387,6.658,2.968,5855.551,47.548,1039.395,8.44,-18.414,-0.745,406.586,3.302,14.559,11.662,63.58,57.97,17.048,0.215,0.875,50209.152,1.384,7.349,20.867,2799.225,22.73,37537.383,304.807,39.21,74.762,9.995,8.144,89.63,1374.366,11.16,11037.999,11.223,2.197,2680.869,21.769,19.251,21.984,16.37,-17.431,-21.088,96.328,4089.849,33.21,11862.851,57.288,23.627,-15.852,-19.991,102.896,4339.846,35.24,12671.771,60.79,25.238,5.61,8.824,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.178,9.754,167.63,385.463,3.13,20643.83,-3.469,-0.464,1590.602,12.916,5.399,41.116,5.464,1.65,0.0,12.593,0.611,203.199,0.0,672.845,2.846,0.0,1.34,7139.07,407.704,-15.852,-19.991,102.896,4339.846,35.24,12671.771,60.79,25.238,66.667,0.017,0.044,1.232,0.01,5.357,0.017,0.011,80.296,0.469,1.061,45.566,0.37,130.718,0.638,0.26
Austria,2004-01-01,AUT,8171215.0,303692480512.0,,0.0,0.0,0.0,233.747,1.91,3.088,0.0,259.337,-2.043,-0.971,5700.046,46.576,968.032,7.91,-79.601,-2.628,82.422,0.673,12.789,11.025,64.93,61.85,17.832,3.619,14.754,51700.691,1.391,0.796,2.425,2720.526,22.23,37599.379,307.233,35.942,72.725,0.962,0.863,90.492,1340.07,10.95,11074.526,-5.281,-1.15,2523.415,20.619,17.704,21.42,16.04,10.68,9.609,105.936,4498.719,36.76,12964.547,59.434,25.076,12.621,12.329,115.225,4848.728,39.62,14101.312,64.058,27.275,3.08,4.744,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.512,2.534,170.164,412.423,3.37,20824.805,1.095,0.141,1597.968,13.057,5.449,40.28,6.574,1.91,0.0,20.317,1.111,233.747,0.0,804.559,3.088,0.0,1.556,7569.253,422.457,12.621,12.329,115.225,4848.728,39.62,14101.312,64.058,27.275,20.0,0.008,0.052,2.448,0.02,6.348,0.032,0.012,152.459,1.601,2.663,113.814,0.93,325.857,1.504,0.63
Austria,2005-01-01,AUT,8227034.0,311441129472.0,,0.722,87.76,0.722,295.368,2.43,3.775,0.167,254.0,0.331,0.154,5680.119,46.731,871.517,7.17,-100.0,-0.673,0.0,0.0,11.139,10.834,66.99,64.37,18.166,2.105,8.893,52430.82,1.385,1.795,5.516,2855.221,23.49,38014.77,312.749,36.492,72.505,5.287,4.785,95.277,1583.803,13.03,11580.974,-11.971,-2.468,2206.254,18.151,20.242,22.088,16.35,0.905,0.283,106.219,4509.523,37.1,12910.938,57.636,24.625,4.641,3.376,118.601,4968.984,40.88,14416.047,63.508,27.495,2.62,3.911,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339,0.577,170.741,399.901,3.29,20753.68,-10.001,-1.306,1428.392,11.751,5.111,39.583,7.788,2.43,0.0,18.469,1.214,295.368,0.0,946.685,3.775,0.0,1.806,7824.206,431.35,4.641,3.376,118.601,4968.984,40.88,14416.047,63.508,27.495,16.769,0.008,0.06,2.431,0.02,7.315,0.031,0.014,44.078,1.149,3.812,161.662,1.33,463.35,2.066,0.884
Austria,2006-01-01,AUT,8267771.0,323236888576.0,300.675,2.171,349.899,2.893,390.674,3.23,5.192,0.679,253.014,-0.119,-0.056,5645.395,46.675,891.413,7.37,,0.0,0.0,0.0,11.847,10.96,68.55,62.21,17.793,-1.272,-5.485,51509.012,1.318,-2.134,-6.673,2606.507,21.55,37020.414,306.076,34.641,71.872,-6.03,-5.745,89.532,1290.553,10.67,10829.038,15.544,2.821,2536.624,20.972,17.152,21.024,15.74,-3.879,-4.763,101.456,4313.134,35.66,12271.263,57.322,23.824,4.733,1.187,119.788,4917.892,40.66,14488.603,65.359,28.128,6.34,9.249,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.511,-0.872,169.869,424.54,3.51,20545.979,3.537,0.416,1471.634,12.167,5.642,39.888,10.388,3.23,0.0,33.384,2.6,390.674,0.0,1256.501,5.192,0.0,2.439,7524.398,425.865,4.733,1.187,119.788,4917.892,40.66,14488.603,65.359,28.128,6.511,0.004,0.064,2.419,0.02,7.705,0.032,0.015,31.663,1.175,4.987,211.665,1.75,603.235,2.813,1.171
