country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
European Union (27),2003-01-01,,429699089.0,,26.747,2.855,31.49,13.531,100.442,43.16,1.541,0.073,424.241,3.404,112.654,7964.187,3422.204,1975.894,849.04,-0.313,-7.061,5233.352,2248.767,30.324,18.417,2797.83,2799.92,17.294,1.817,331.607,43243.406,,2.218,322.77,3479.924,1495.32,34610.594,14872.141,53.406,80.037,5.4,201.959,3941.938,974.868,418.9,9173.718,-3.047,-39.792,2946.996,1266.322,14.961,21.214,1187.84,-3.026,-33.685,889.812,708.961,304.64,2070.779,10.88,4.789,0.955,8.836,3709.513,3036.078,1304.6,8632.814,46.594,19.963,-2.09,-0.075,0.535,-2.768,2524.617,2111.198,907.18,5875.314,32.4,13.587,0.109,8.157,7507.999,529.161,227.38,17472.689,-0.671,-3.399,1171.421,503.358,8.121,40.405,154.703,49.08,5.92,13.901,18.791,114.219,13.777,360.027,1.753,0.211,0.833,6516.001,18581.652,1.889,11.604,1184.895,924.88,397.42,2757.5,14.194,6.377,51.512,0.429,1.279,0.931,0.4,2.977,0.014,0.007,23.471,23.213,125.57,100.768,43.3,292.227,1.546,0.676
European Union (27),2004-01-01,,431170409.0,,44.057,5.962,45.209,19.493,122.365,52.76,1.84,0.103,412.045,-1.71,-58.527,7801.27,3363.677,1937.563,835.42,-2.887,-64.927,5064.91,2183.839,29.134,17.847,2855.72,2867.53,17.531,1.432,266.135,43713.082,,0.648,96.4,3476.422,1498.93,34716.066,14968.541,52.273,79.418,2.692,106.124,4048.062,1063.338,458.48,9388.544,8.594,108.824,3189.332,1375.146,15.989,21.478,1181.55,6.18,48.974,938.786,749.564,323.19,2177.297,11.271,4.981,5.339,169.733,3879.246,3174.151,1368.6,8997.013,47.727,20.582,-11.81,-0.414,2.364,43.229,2567.846,2153.348,928.46,5955.526,32.378,13.624,0.65,48.803,7556.802,475.52,205.03,17526.254,0.305,1.535,1170.984,504.893,7.15,40.094,185.334,58.75,5.99,19.605,30.63,136.257,13.892,429.839,2.049,0.209,0.983,6650.572,18847.787,11.869,126.504,1311.399,1020.803,440.14,3041.488,15.349,6.958,63.71,0.802,2.081,1.577,0.68,4.826,0.024,0.011,32.809,40.136,165.706,133.404,57.52,384.316,2.006,0.879
European Union (27),2005-01-01,,432626741.0,,62.322,12.148,73.138,31.641,140.999,61.0,2.115,0.168,409.94,-3.291,-110.696,7519.14,3252.981,1869.718,808.89,-1.42,-31.007,4976.19,2152.833,28.044,17.251,2891.7,2884.37,17.579,0.049,9.176,43587.141,,0.322,48.219,3524.609,1524.84,34710.66,15016.76,52.866,79.635,3.43,138.83,4186.892,1184.716,512.54,9677.839,-6.038,-83.036,2986.662,1292.11,17.77,22.203,1182.42,-5.633,-58.485,880.301,709.665,307.02,2034.783,10.644,4.668,0.071,-39.042,3840.204,3142.501,1359.53,8876.483,47.134,20.365,7.33,0.253,-1.318,-49.892,2517.954,2117.484,916.08,5820.154,31.76,13.353,0.266,20.084,7576.886,470.174,203.41,17513.678,-2.922,-14.752,1132.942,490.141,7.052,40.181,211.089,66.87,5.87,13.744,25.755,154.567,13.568,487.924,2.318,0.204,1.119,6667.11,18856.963,2.861,10.851,1322.25,1025.018,443.45,3056.33,15.374,7.012,104.469,2.147,4.228,3.421,1.48,9.773,0.051,0.022,18.422,29.285,194.991,157.364,68.08,450.714,2.36,1.034
European Union (27),2006-01-01,,434045309.0,,61.513,19.464,117.741,51.105,160.951,69.86,2.382,0.269,408.723,2.678,87.107,7695.251,3340.088,1881.14,816.5,-1.815,-39.063,4869.928,2113.769,27.845,17.601,2932.74,2932.28,17.766,0.635,119.82,43720.742,,0.369,55.414,3572.622,1550.68,34724.887,15072.174,52.883,79.424,-0.315,-13.209,4173.683,1244.225,540.05,9615.776,-1.323,-17.095,2937.517,1275.015,18.417,21.994,1198.49,1.211,5.056,885.357,714.165,309.98,2039.78,10.571,4.665,3.024,64.405,3904.609,3183.078,1381.6,8995.855,47.117,20.576,0.46,0.016,-0.204,-20.928,2497.026,2106.785,914.44,5752.915,31.185,13.158,-0.244,-18.482,7558.403,447.257,194.13,17413.857,-7.138,-34.984,1048.639,455.157,6.62,39.83,239.958,75.94,6.08,13.613,28.869,174.959,14.008,552.841,2.59,0.207,1.264,6755.701,18976.783,9.244,85.333,1407.583,1076.293,467.16,3242.94,15.932,7.417,71.122,2.962,7.19,5.806,2.52,16.564,0.086,0.038,15.591,28.983,223.973,181.364,78.72,516.014,2.685,1.18
European Union (27),2007-01-01,,435752873.0,,49.64,25.368,175.497,76.473,179.987,78.43,2.661,0.408,413.105,0.991,33.088,7741.029,3373.176,1901.858,828.74,-2.967,-62.708,4706.938,2051.062,28.115,17.987,2958.32,2947.68,18.062,-1.175,-222.98,43037.703,,-1.306,-196.887,3624.302,1579.3,34136.98,14875.287,53.578,79.319,-1.645,-68.651,4105.032,1312.579,571.96,9420.55,-5.831,-74.342,2755.4,1200.673,19.404,21.889,1217.7,-0.631,-11.088,874.269,706.18,307.72,2006.342,10.439,4.662,0.863,-26.092,3878.517,3140.266,1368.38,8900.726,46.422,20.681,10.64,0.36,-4.622,-130.287,2366.739,2001.685,872.24,5431.378,29.591,12.62,-2.134,-161.323,7397.081,409.865,178.6,16975.402,-4.849,-22.071,993.88,433.086,6.059,39.443,267.695,84.67,6.24,11.506,27.737,194.307,14.32,614.328,2.872,0.212,1.427,6764.568,18753.803,10.52,104.195,1511.778,1138.581,496.14,3469.347,16.832,8.061,51.462,3.632,10.822,8.789,3.83,24.834,0.13,0.058,26.933,58.545,282.518,229.304,99.92,648.345,3.39,1.506
European Union (27),2008-01-01,,437503272.0,,32.95,25.198,232.39,101.671,201.347,88.09,2.976,0.544,392.426,-7.304,-246.39,7146.885,3126.785,1730.296,757.01,-5.169,-106.023,4445.769,1945.038,25.577,16.737,2971.77,2959.74,18.312,-0.385,-72.162,42700.574,,-1.609,-239.309,3507.174,1534.4,33453.414,14635.979,51.842,78.344,2.108,86.548,4191.58,1398.047,611.65,9580.682,5.649,67.829,2899.414,1268.503,20.666,22.437,1161.48,5.914,45.954,920.224,744.2,325.59,2103.353,11.001,4.926,5.723,167.145,4045.661,3257.896,1425.34,9247.156,48.158,21.656,12.03,0.405,1.463,19.71,2386.449,2022.225,884.73,5454.7,29.892,12.774,-1.074,-79.467,7317.614,378.831,165.74,16725.85,-7.033,-30.459,920.284,402.627,5.6,39.17,297.97,94.29,6.2,11.222,30.275,215.518,14.171,681.07,3.186,0.209,1.595,6765.069,18681.641,12.195,147.434,1659.212,1235.671,540.61,3792.456,18.265,8.882,96.674,10.33,21.151,17.166,7.51,48.345,0.254,0.113,13.332,35.677,318.195,258.787,113.22,727.297,3.825,1.703
European Union (27),2009-01-01,,438847122.0,,20.901,21.25,280.101,122.921,221.581,97.24,3.463,0.7,382.452,-11.424,-357.203,6311.042,2769.583,1603.178,703.55,-6.57,-127.792,4140.956,1817.247,25.053,15.77,2825.59,2808.3,18.583,-5.993,-1119.588,40018.613,,-7.125,-1042.859,3218.342,1412.36,30974.611,13593.119,50.292,77.401,-6.072,-254.525,3937.055,1285.254,564.03,8971.358,-7.26,-92.092,2680.685,1176.411,20.084,22.418,1074.04,0.81,1.732,921.956,749.692,329.0,2100.858,11.715,5.25,-0.62,-76.727,3968.934,3180.926,1395.94,9044.002,49.708,22.599,17.29,0.612,-6.791,-175.786,2210.664,1879.743,824.92,5037.435,29.374,12.588,-5.892,-431.132,6886.481,329.91,144.78,15692.211,-8.525,-34.326,839.248,368.301,5.155,39.212,326.419,103.23,5.99,9.458,28.449,235.23,13.649,743.811,3.676,0.213,1.859,6399.268,17562.053,7.859,99.059,1758.271,1301.182,571.02,4006.567,20.333,10.012,89.192,18.618,39.769,32.403,14.22,90.622,0.506,0.226,9.795,29.01,347.205,283.857,124.57,791.175,4.436,1.977
European Union (27),2010-01-01,,439891841.0,,12.27,15.083,313.724,138.004,253.403,111.47,3.784,0.755,369.406,4.945,136.963,6607.41,2906.546,1594.028,701.2,-0.949,-17.253,4091.901,1799.994,23.806,15.898,2950.38,2945.46,18.816,4.102,720.455,41561.371,,3.059,415.799,3269.713,1438.32,31846.277,14008.918,48.832,76.625,7.498,295.188,4232.242,1335.237,587.36,9621.098,6.736,79.24,2854.452,1255.65,19.941,23.149,1088.07,13.242,115.681,1037.637,845.253,371.82,2358.846,12.623,5.676,8.308,304.656,4273.59,3426.16,1507.14,9715.093,51.168,23.375,4.92,0.167,3.524,63.866,2274.529,1942.455,854.47,5170.656,29.01,12.441,-0.237,-16.351,6870.13,340.447,149.76,15617.771,-3.768,-13.878,805.706,354.424,5.084,37.578,372.133,117.56,6.09,13.92,45.713,267.248,13.844,845.964,3.991,0.207,2.035,6695.873,18282.508,13.988,240.79,1999.06,1483.706,652.67,4544.436,22.159,10.934,63.95,25.032,64.802,53.354,23.47,147.313,0.797,0.354,12.0,39.28,386.484,317.851,139.82,878.59,4.747,2.114
European Union (27),2011-01-01,,440792832.0,,7.073,9.761,335.226,147.765,269.923,118.98,4.091,0.833,376.704,3.035,88.218,6794.039,2994.764,1644.333,724.81,1.55,27.902,4146.835,1827.895,24.922,16.877,2909.29,2908.33,19.155,-2.942,-537.824,40256.289,,-3.265,-457.459,3232.198,1424.73,30743.375,13551.459,48.988,76.369,-7.955,-336.693,3895.549,1263.292,556.85,8837.597,-6.46,-81.117,2664.594,1174.534,19.147,21.953,1095.58,-17.839,-190.298,847.339,697.448,307.43,1922.306,10.571,4.775,-0.996,-80.365,4193.225,3365.754,1483.6,9512.916,51.012,23.631,0.96,0.033,-1.897,-56.758,2217.771,1900.598,837.77,5031.323,28.806,12.498,-3.042,-208.984,6661.146,324.574,143.07,15111.739,-4.081,-14.464,771.246,339.96,4.919,37.539,396.862,125.4,6.42,6.658,24.729,284.487,14.565,900.336,4.312,0.221,2.237,6597.953,17744.684,-0.023,-23.607,1975.454,1465.155,645.83,4481.592,22.206,11.133,100.047,64.042,128.844,108.146,47.67,292.3,1.639,0.726,18.358,68.16,454.645,375.074,165.33,1031.425,5.685,2.562
European Union (27),2012-01-01,,441481855.0,,11.021,16.285,371.59,164.05,300.964,132.87,4.576,0.935,371.948,-0.463,-13.864,6752.032,2980.9,1682.244,742.68,0.208,3.81,4148.993,1831.705,25.58,16.983,2910.15,2903.39,19.482,-1.083,-192.178,39758.16,,-2.605,-353.047,3086.514,1362.64,29895.707,13198.412,46.933,75.194,-1.774,-69.103,3826.446,1093.363,482.7,8667.277,-2.99,-35.117,2580.891,1139.417,16.625,21.8,1079.91,7.64,59.207,906.545,751.265,331.67,2053.415,11.424,5.165,4.528,160.868,4354.093,3489.951,1540.75,9862.45,53.067,24.806,6.76,0.232,-3.082,-81.38,2136.392,1839.147,811.95,4839.138,27.966,12.171,-4.055,-270.079,6391.067,310.907,137.26,14476.398,-4.246,-14.433,737.35,325.527,4.728,36.411,440.914,139.15,6.28,11.018,44.052,315.189,14.225,998.713,4.793,0.216,2.512,6576.465,17552.506,12.58,242.247,2217.701,1650.804,728.8,5023.312,25.102,12.635,50.212,63.522,192.366,159.689,70.5,435.728,2.428,1.096,13.706,59.181,513.826,424.661,187.48,1163.866,6.457,2.927
